token	repeticiones	#docs
cdt	59	10
testimony	25	13
med	173	9
privacy	112	15
statement	87	42
of	21030	391
janlori	2	1
goldman	4	3
deputy	58	30
director	101	43
center	187	87
for	4692	359
democracy	84	42
and	17252	384
technology	163	64
before	222	97
the	33468	392
house	190	91
committee	102	49
on	4429	340
government	654	132
reform	106	54
oversight	4	3
subcommittee	4	2
management	296	79
information	612	185
medical	294	59
records	75	20
confidentiality	26	7
june	223	50
overview	130	69
need	195	89
demand	64	36
federal	411	77
protection	136	60
consensus	10	5
exists	20	15
misuse	5	2
personal	262	105
health	585	84
consequences	55	34
not	1223	201
protecting	28	16
principles	49	26
a	28849	428
policy	418	87
conclusion	53	37
footnotes	106	105
chairman	74	35
horn	304	41
members	133	72
i	779	149
my	358	44
name	120	63
is	5784	322
am	158	59
non	183	101
profit	38	31
public	562	144
interest	281	147
organization	180	100
dedicated	8	8
to	11429	381
preserving	3	3
free	290	113
speech	106	34
other	809	210
democratic	126	50
values	71	43
internet	258	43
interactive	34	15
communications	240	138
media	484	171
appreciate	7	6
opportunity	57	39
testify	9	8
you	489	123
today	141	84
behalf	24	17
in	10315	378
support	275	105
strong	80	37
comprehensive	67	43
legislation	97	39
protect	73	45
one	663	201
s	13496	387
primary	51	35
goals	38	24
passage	52	20
that	3553	303
establishes	6	5
enforceable	5	2
personally	17	8
identifiable	7	1
we	475	102
believe	52	31
protects	17	9
critical	250	121
will	1085	194
have	1075	221
trust	69	16
confidence	21	18
emerging	19	15
infrastructure	41	14
if	733	149
their	1096	225
sensitive	26	18
data	310	88
vulnerable	4	3
abuse	193	31
commend	4	3
efforts	93	62
representative	66	32
gary	10	3
condit	3	1
leadership	72	26
towards	67	46
enacting	1	1
presently	8	8
there	429	122
no	994	178
law	909	181
peoples	19	14
however	210	70
louis	36	15
harris	66	18
survey	61	36
found	157	65
most	716	166
people	422	138
this	1809	290
country	201	87
mistakenly	4	3
currently	61	47
protected	32	10
by	3302	314
they	738	173
right	248	93
access	315	55
own	204	94
fact	112	59
only	405	135
states	411	126
allow	67	42
patients	72	18
laws	198	58
urgently	3	3
needed	63	39
address	74	51
increasing	54	40
demands	26	19
those	279	130
outside	58	37
traditional	74	50
doctor	54	20
patient	127	26
relationship	220	92
insurance	217	39
companies	124	50
managed	9	7
care	435	57
researchers	10	7
employers	70	17
enforcement	48	24
are	1931	279
eroding	2	2
central	156	79
believes	23	16
congress	143	46
must	392	78
act	291	72
so	253	112
our	346	127
finally	34	28
conform	5	4
some	404	140
extent	52	40
with	2925	327
american	639	144
perception	38	26
expectation	8	5
confidential	18	8
technological	22	19
innovations	10	9
images	54	28
be	2307	276
transferred	15	12
easily	22	20
over	436	151
great	182	75
distances	6	5
impacts	10	8
significant	69	48
ways	76	53
development	437	129
national	322	131
superhighway	2	2
changing	87	51
deal	78	46
each	353	136
barriers	9	9
distance	22	12
time	477	167
location	35	19
disappearing	3	3
as	3593	334
transactions	15	12
become	99	61
computerized	12	9
few	87	52
relationships	36	30
field	116	51
remain	44	32
unaffected	2	2
these	673	194
changes	136	76
absence	22	21
any	470	124
congressional	20	13
action	156	55
collection	27	22
use	504	164
continue	70	44
occur	32	23
within	238	117
electronic	56	25
networked	2	1
environments	11	9
without	171	80
protections	6	3
but	598	156
while	221	103
revolution	161	40
may	758	148
hold	38	31
promise	14	13
enhancing	9	8
nation	55	36
others	94	57
both	370	142
paper	617	127
form	165	87
rules	81	41
even	222	95
useful	26	20
technologies	45	14
pose	9	8
potential	87	51
risks	641	24
where	201	106
an	2974	326
individual	202	83
keep	56	38
forced	30	21
take	180	94
back	201	88
seat	12	6
drive	26	21
lower	72	45
costs	113	51
increase	80	53
efficiency	48	25
facilitate	11	11
research	350	133
through	438	156
automation	10	6
last	340	216
held	106	60
hearings	13	9
fair	44	24
practices	86	47
sponsored	14	10
co	1047	43
craig	18	13
thomas	76	35
bill	154	50
h	202	67
r	795	122
was	1167	197
approved	58	27
full	138	74
operations	85	51
part	419	136
its	1023	222
ongoing	18	15
consideration	35	24
testifying	1	1
were	477	135
industry	268	84
representatives	48	31
consumer	87	39
advocates	16	12
specialists	8	7
including	397	171
rep	13	11
nydia	2	1
velazquez	2	1
d	554	145
ny	306	28
nan	1	1
hunter	21	18
department	184	62
human	303	92
services	348	104
dr	162	51
alan	10	7
westin	2	1
columbia	91	18
university	198	40
john	150	56
baker	21	21
equifax	2	1
inc	247	159
donald	8	7
lewers	1	1
association	139	61
fredric	1	1
entin	1	1
hospital	119	33
joel	5	5
e	1146	175
gimpel	1	1
blue	56	23
cross	38	27
shield	8	4
representing	34	28
workgroup	4	3
interchange	2	1
kathleen	2	2
frawley	1	1
richard	58	26
barker	3	3
ibm	219	25
corporation	141	54
martin	47	30
sepulveda	1	1
robert	121	48
bolan	1	1
medic	2	2
alert	23	12
foundation	49	30
international	408	113
professor	15	10
paul	33	24
schwartz	5	5
arkansas	33	33
school	279	66
january	72	41
reintroduced	1	1
jim	28	16
mcdermott	6	6
wa	125	9
recently	61	40
introduced	23	18
also	660	185
aimed	25	21
at	1855	320
outlines	16	14
key	151	95
should	292	105
embodied	6	5
ii	157	71
conference	122	41
washington	253	89
c	681	176
u	815	146
office	171	81
affairs	61	38
panelists	2	2
from	1818	278
cigna	1	1
group	210	99
computer	128	46
professionals	36	23
social	589	119
responsibility	83	65
urged	14	10
policymakers	1	1
issue	162	97
associations	18	9
released	35	23
prepared	28	22
assistance	82	36
expert	17	11
majority	63	37
favored	6	4
enactment	11	8
governing	29	24
eighty	2	2
five	134	76
percent	94	28
said	453	59
absolutely	4	4
essential	45	35
or	2834	258
very	179	73
important	176	93
them	249	112
wanted	29	19
penalties	26	13
imposed	24	18
unauthorized	10	4
disclosure	20	7
guaranteed	12	11
regulating	15	14
third	108	58
party	268	70
buttressing	1	1
findings	55	24
another	190	76
revealed	15	15
nearly	14	13
ninety	6	3
believed	22	19
computers	24	21
make	238	100
it	1825	257
easier	16	12
someone	81	28
improperly	2	2
obtain	48	29
twenty	11	11
had	385	120
been	535	158
victim	79	23
improper	2	2
number	327	175
studies	476	138
determined	29	21
georgetown	24	8
larry	16	11
gostin	1	1
concluded	26	10
preemptive	1	1
statute	19	10
based	312	125
necessary	114	64
databases	1	1
continued	49	39
grow	19	15
assessment	54	29
ota	71	30
issued	39	24
report	307	160
entitled	36	16
which	1237	248
addressed	18	15
computerizing	1	1
recommending	5	5
t	1417	151
he	771	118
expanded	21	17
treatment	212	77
purposes	46	36
exacerbates	1	1
shortcomings	8	7
existing	46	33
legal	322	82
schemes	5	5
flow	30	11
outward	4	3
addressing	16	14
questions	131	81
appropriate	62	36
providing	66	54
redress	1	1
who	758	180
wronged	2	2
violations	34	19
lack	67	46
such	482	166
guidelines	30	25
failure	81	44
could	159	76
affect	63	42
quality	81	47
integrity	10	7
record	74	43
itself	72	58
institute	88	51
medicine	190	118
iom	2	1
academy	15	11
science	353	135
study	495	143
focused	16	15
opportunities	47	32
associated	64	37
identifiably	1	1
recommended	18	15
enact	4	2
preempt	1	1
state	863	154
establish	26	24
uniform	15	10
requirement	43	30
rights	524	164
suggested	36	23
create	89	49
code	79	45
ensure	46	29
proper	22	22
balance	59	39
between	551	158
required	119	54
disclosures	4	3
council	120	41
nrc	21	7
preparing	13	13
organizational	39	13
applications	72	41
security	314	76
analyzing	18	18
distribution	84	38
among	142	85
providers	50	12
institutions	57	43
plans	144	70
end	173	89
b	560	97
can	776	186
disastrous	5	5
see	174	76
attached	21	17
news	159	71
stories	58	23
editorials	2	2
new	1111	249
york	324	116
congresswoman	1	1
won	35	23
her	399	84
after	357	130
overcoming	6	6
results	119	75
details	34	29
bout	1	1
depression	38	15
suicide	17	9
attempt	81	51
faxed	1	1
newspaper	48	24
television	108	34
stations	15	10
during	448	146
campaign	154	46
instance	24	16
journalist	26	14
disguised	3	3
himself	39	23
obtained	28	20
actress	4	4
published	46	37
she	309	53
treated	16	10
sexually	16	7
transmitted	47	17
disease	74	29
more	678	209
common	120	57
troubling	2	2
than	457	156
well	259	130
publicized	6	5
invasions	1	1
figures	45	30
suffered	17	12
